"Indep.EEBoost","Indep.Penalized","ExchFixed.EEBoost","ExchFixed.Penalized","ExchEstimated.EEBoost","ExchEstimated.Penalized"
0.7,0.8,0.7,0.8,0.75,0.8
0.6,0.7,0.65,0.7,0.65,0.7
0.6,0.68,0.75,0.8,0.75,0.78
0.6,0.7,0.9,0.9,0.9,0.9
